sheet,scope,jurisdiction,sub_jurisdiction,industry_or_topic,entity_type,entity_name,office_or_role,current_holder,priority,why_it_matters,source_url,rss_url,notes
Provincial_Sources,provincial,BC,,Government,"Premier's Office",BC Premier's Office,Premier,David Eby,1,"Sets provincial policy direction, major project approvals",https://news.gov.bc.ca/ministries/premier,https://news.gov.bc.ca/feed,NDP government
Provincial_Sources,provincial,BC,,Finance,Ministry,BC Ministry of Finance,Minister of Finance,Brenda Bailey,1,"Provincial budget, tax policy, economic forecasts",https://news.gov.bc.ca/ministries/finance,https://news.gov.bc.ca/feed,
Provincial_Sources,provincial,BC,,Economic Development,Ministry,"BC Ministry of Jobs, Economic Development and Innovation",Minister of Jobs/Econ Dev,Brenda Bailey,2,"Business incentives, trade, innovation policy",https://news.gov.bc.ca/ministries/jobs-economic-development-and-innovation,https://news.gov.bc.ca/feed,Dual role with Finance
Provincial_Sources,provincial,BC,,Government,RSS Feed,BC Gov News RSS,Government News,,2,All BC government news releases,https://news.gov.bc.ca,https://news.gov.bc.ca/feed,Comprehensive provincial feed
Provincial_Sources,provincial,AB,,Government,"Premier's Office",AB Premier's Office,Premier,Danielle Smith,1,"Sets provincial policy, energy/resource strategy",https://www.alberta.ca/premier.aspx,https://www.alberta.ca/news.rss,UCP government
Provincial_Sources,provincial,AB,,Finance,Ministry,AB Treasury Board and Finance,President of Treasury Board and Minister of Finance,Nate Horner,1,"Provincial budget, fiscal policy",https://www.alberta.ca/treasury-board-and-finance,https://www.alberta.ca/news.rss,
Provincial_Sources,provincial,AB,,Economic Development,Ministry,"AB Ministry of Jobs, Economy and Trade",Minister of Jobs/Economy/Trade,Matt Jones,2,"Economic diversification, trade, investment attraction",https://www.alberta.ca/jobs-economy-and-trade,https://www.alberta.ca/news.rss,
Provincial_Sources,provincial,AB,,Government,RSS Feed,Alberta News RSS,Government News,,2,All Alberta government news releases,https://www.alberta.ca/news,https://www.alberta.ca/news.rss,
Provincial_Sources,provincial,SK,,Government,"Premier's Office",SK Premier's Office,Premier,Scott Moe,1,"Provincial policy, resource development strategy",https://www.saskatchewan.ca/government/news-and-media,,,Saskatchewan Party government
Provincial_Sources,provincial,SK,,Finance,Ministry,SK Ministry of Finance,Minister of Finance,Donna Harpauer,1,"Provincial budget, fiscal framework",https://www.saskatchewan.ca/government/government-structure/ministries/finance,,
Provincial_Sources,provincial,SK,,Economic Development,Ministry,"SK Ministry of Trade and Export Development",Minister of Trade and Export Development,Jeremy Harrison,2,"Trade promotion, export growth, investment",https://www.saskatchewan.ca/government/government-structure/ministries/trade-and-export-development,,
Provincial_Sources,provincial,SK,,Government,RSS Feed,Saskatchewan News RSS,Government News,,2,Saskatchewan government releases,https://www.saskatchewan.ca/government/news-and-media,,Check for RSS availability
Provincial_Sources,provincial,MB,,Government,"Premier's Office",MB Premier's Office,Premier,Wab Kinew,1,"Provincial policy direction, reconciliation agenda",https://news.gov.mb.ca/news/index.html,,NDP government
Provincial_Sources,provincial,MB,,Finance,Ministry,MB Department of Finance,Minister of Finance,Adrien Sala,1,"Provincial budget, tax policy",https://www.gov.mb.ca/finance/,,
Provincial_Sources,provincial,MB,,Economic Development,Ministry,"MB Department of Economic Development, Investment and Trade",Minister of Economic Development,Jamie Moses,2,"Investment attraction, trade, business support",https://www.gov.mb.ca/jec/,,
Provincial_Sources,provincial,MB,,Government,RSS Feed,Manitoba News RSS,Government News,,2,Manitoba government releases,https://news.gov.mb.ca/news/index.html,,Check for RSS availability
Provincial_Sources,provincial,ON,,Government,"Premier's Office",ON Premier's Office,Premier,Doug Ford,1,"Largest province, sets tone for national economic policy",https://news.ontario.ca/en/office/premier,https://news.ontario.ca/newsroom/en/rss,PC government
Provincial_Sources,provincial,ON,,Finance,Ministry,ON Ministry of Finance,Minister of Finance,Peter Bethlenfalvy,1,"Largest provincial budget, major fiscal impact nationally",https://news.ontario.ca/en/ministry/finance,https://news.ontario.ca/newsroom/en/rss,
Provincial_Sources,provincial,ON,,Economic Development,Ministry,"ON Ministry of Economic Development, Job Creation and Trade",Minister of Economic Development,Vic Fedeli,2,"Ontario's economic strategy, trade offices, investment",https://news.ontario.ca/en/ministry/economic-development-job-creation-and-trade,https://news.ontario.ca/newsroom/en/rss,
Provincial_Sources,provincial,ON,,Government,RSS Feed,Ontario Newsroom RSS,Government News,,2,All Ontario government news releases,https://news.ontario.ca,https://news.ontario.ca/newsroom/en/rss,Comprehensive feed
Provincial_Sources,provincial,QC,,Government,"Premier's Office",QC Premier's Office,Premier,Francois Legault,1,"Quebec economic nationalism, language policy, major projects",https://www.quebec.ca/gouvernement/premier-ministre,,CAQ government
Provincial_Sources,provincial,QC,,Finance,Ministry,"QC Ministere des Finances",Minister of Finance,Eric Girard,1,"Quebec budget, tax policy, Caisse de depot direction",https://www.finances.gouv.qc.ca,,
Provincial_Sources,provincial,QC,,Economic Development,Ministry,"QC Ministere de l'Economie, de l'Innovation et de l'Energie","Minister of Economy, Innovation and Energy",Pierre Fitzgibbon,2,"Quebec Inc strategy, battery/EV supply chain, energy policy",https://www.economie.gouv.qc.ca,,
Provincial_Sources,provincial,QC,,Government,RSS Feed,Quebec Nouvelles RSS,Government News,,2,Quebec government releases,https://www.quebec.ca/nouvelles,,Check for RSS/Atom feed
Provincial_Sources,provincial,NB,,Government,"Premier's Office",NB Premier's Office,Premier,Susan Holt,1,"Atlantic growth corridor, energy exports",https://www2.gnb.ca/content/gnb/en/news.html,,Liberal government (replaced Higgs 2024)
Provincial_Sources,provincial,NB,,Finance,Ministry,NB Department of Finance and Treasury Board,Minister of Finance,Ernie Steeves,1,"Provincial budget, fiscal management",https://www2.gnb.ca/content/gnb/en/departments/finance.html,,Verify current holder under Holt
Provincial_Sources,provincial,NB,,Economic Development,Ministry,"NB Department of Economic Development",Minister of Economic Development,,2,"Investment attraction, trade",https://www2.gnb.ca/content/gnb/en/departments/economic_development.html,,New cabinet under Holt
Provincial_Sources,provincial,NB,,Government,RSS Feed,GNB News RSS,Government News,,2,New Brunswick government releases,https://www2.gnb.ca/content/gnb/en/news.html,,
Provincial_Sources,provincial,NS,,Government,"Premier's Office",NS Premier's Office,Premier,Tim Houston,1,"Atlantic immigration, ocean tech, defence procurement hub",https://novascotia.ca/news/,,PC government
Provincial_Sources,provincial,NS,,Finance,Ministry,NS Department of Finance and Treasury Board,Minister of Finance and Treasury Board,Allan MacMaster,1,"Provincial budget, fiscal management",https://novascotia.ca/finance/,,
Provincial_Sources,provincial,NS,,Economic Development,Ministry,NS Department of Economic Development,Minister of Economic Development,,2,"Trade, investment, innovation",https://novascotia.ca/business/,,
Provincial_Sources,provincial,NS,,Government,RSS Feed,Nova Scotia News RSS,Government News,,2,Nova Scotia government releases,https://novascotia.ca/news/,,
Provincial_Sources,provincial,PE,,Government,"Premier's Office",PEI Premier's Office,Premier,Dennis King,1,"Small province, bioscience/agrifood hub",https://www.princeedwardisland.ca/en/news,,PC government; verify current holder
Provincial_Sources,provincial,PE,,Finance,Ministry,PEI Department of Finance,Minister of Finance,,1,"Provincial budget, fiscal management",https://www.princeedwardisland.ca/en/topic/finance,,
Provincial_Sources,provincial,PE,,Economic Development,Ministry,"PEI Department of Economic Growth, Tourism and Culture",Minister of Econ Growth,,2,"Tourism, immigration, bioscience",https://www.princeedwardisland.ca/en/topic/economic-growth-tourism-and-culture,,
Provincial_Sources,provincial,PE,,Government,RSS Feed,PEI News RSS,Government News,,2,PEI government releases,https://www.princeedwardisland.ca/en/news,,
Provincial_Sources,provincial,NL,,Government,"Premier's Office",NL Premier's Office,Premier,Andrew Furey,1,"Offshore energy, Churchill Falls renegotiation",https://www.gov.nl.ca/releases/,,Liberal government
Provincial_Sources,provincial,NL,,Finance,Ministry,NL Department of Finance,Minister of Finance,,1,"Provincial budget, debt management",https://www.gov.nl.ca/fin/,,
Provincial_Sources,provincial,NL,,Economic Development,Ministry,"NL Department of Industry, Energy and Technology",Minister of IET,,2,"Offshore energy, tech sector, hydrogen",https://www.gov.nl.ca/iet/,,
Provincial_Sources,provincial,NL,,Government,RSS Feed,NL Releases RSS,Government News,,2,Newfoundland and Labrador releases,https://www.gov.nl.ca/releases/,,
Provincial_Sources,provincial,YT,,Government,"Premier's Office",YK Premier's Office,Premier,Ranj Pillai,1,"Mining, tourism, northern development",https://yukon.ca/en/news,,Liberal government
Provincial_Sources,provincial,YT,,Finance,Ministry,YK Department of Finance,Minister of Finance,,1,"Territorial budget, transfer payments",https://yukon.ca/en/department-finance,,
Provincial_Sources,provincial,YT,,Economic Development,Ministry,YK Department of Economic Development,Minister of Economic Development,,2,"Mining investment, tourism, diversification",https://yukon.ca/en/economic-development,,
Provincial_Sources,provincial,YT,,Government,RSS Feed,Yukon News RSS,Government News,,2,Yukon government releases,https://yukon.ca/en/news,,
Provincial_Sources,provincial,NT,,Government,"Premier's Office",NWT Premier's Office,Premier,R.J. Simpson,1,"Resource development, devolution, diamond mining",https://www.gov.nt.ca/en/newsroom,,Consensus government
Provincial_Sources,provincial,NT,,Finance,Ministry,NWT Department of Finance,Minister of Finance,,1,"Territorial budget, fiscal management",https://www.gov.nt.ca/en/services?department=finance,,
Provincial_Sources,provincial,NT,,Economic Development,Ministry,"NWT Department of Industry, Tourism and Investment",Minister of ITI,,2,"Mining, tourism, economic diversification",https://www.gov.nt.ca/en/services?department=industry-tourism-and-investment,,
Provincial_Sources,provincial,NT,,Government,RSS Feed,NWT News RSS,Government News,,2,NWT government releases,https://www.gov.nt.ca/en/newsroom,,
Provincial_Sources,provincial,NU,,Government,"Premier's Office",NU Premier's Office,Premier,P.J. Akeeagok,1,"Mining, infrastructure, Inuit self-governance",https://www.gov.nu.ca/news,,Consensus government
