tab	render_function	line	field_path	expected_type	expected_non_empty	current_producer_skill	current_producer_line	validator_check	status	fix_layer	fix_note
tldr	renderTLDR	368	executive_summary	string	yes	tldr-writer-macro	418	top_level.executive_summary:L158	ok	none	no action — field present and validated
tldr	renderTLDR	374	headline	string	yes	tldr-analyst-macro	618	top_level.headline:L158	ok	none	no action — field present and validated
tldr	renderTLDR	385	week_of	string	yes	tldr-analyst-macro	ASSEMBLER	top_level.week_of:L158	ok	none	no action — field present and validated
tldr	_tldrBuildIndicatorTable	468	key_indicators	array<object>	yes	tldr-analyst-macro	155	MISSING	validator-missing	schema	add length+type check to validator
tldr	_tldrBuildIndicatorTable	468	key_indicators[i].label	string	yes	tldr-analyst-macro	155	MISSING	validator-missing	schema	add length+type check to validator
tldr	_tldrBuildIndicatorTable	468	key_indicators[i].value	string	yes	tldr-analyst-macro	155	MISSING	validator-missing	schema	add length+type check to validator
tldr	_tldrBuildIndicatorTable	490	key_indicators[i].change	string	no	tldr-analyst-macro	155	MISSING	validator-missing	schema	add length+type check to validator
tldr	_tldrBuildIndicatorTable	491	key_indicators[i].changeContext	string	no	tldr-analyst-macro	-	MISSING	frontend-fallback-only	defer	optional indicator sub-field; keep fallback
tldr	_tldrBuildIndicatorTable	498	key_indicators[i].period	string	no	tldr-analyst-macro	155	MISSING	frontend-fallback-only	defer	optional indicator sub-field; keep fallback
tldr	_tldrBuildIndicatorTable	469	indicatorMeta	object	yes	tldr-analyst-macro	200	top_level.indicatorMeta:L158	ok	none	no action — field present and validated
tldr	_tldrBuildIndicatorTable	488	indicatorMeta[key].change	string	yes	tldr-analyst-macro	272	MISSING	validator-missing	schema	add length+type check to validator
tldr	_tldrBuildIndicatorTable	498	indicatorMeta[key].period	string	yes	tldr-analyst-macro	272	MISSING	validator-missing	schema	add length+type check to validator
tldr	_tldrBuildIndicatorTable	497	indicatorMeta[key].source	string	yes	tldr-analyst-macro	272	MISSING	validator-missing	schema	add length+type check to validator
tldr	_tldrBuildIndicatorTable	497	indicatorSources	object	no	tldr-analyst-macro	218	MISSING	frontend-fallback-only	defer	optional enrichment; keep fallback
tldr	_tldrBuildMarketsTable	555	commodities	array<object>	yes	tldr-writer-markets-triad	304	count.commodities:L182	ok	none	no action — field present and validated
tldr	_tldrBuildMarketsTable	583	commodities[i].name	string	yes	tldr-writer-markets-triad	304	commodity.{name}.name:L213	ok	none	no action — field present and validated
tldr	_tldrBuildMarketsTable	583	commodities[i].val	string	yes	tldr-writer-markets-triad	52	commodity.{name}.val:L213	ok	none	no action — field present and validated
tldr	_tldrBuildMarketsTable	583	commodities[i].mm	string	no	tldr-writer-markets-triad	52	commodity.{name}.mm:L213	ok	none	no action — field present and validated
tldr	_tldrBuildMarketsTable	583	commodities[i].day	string	no	tldr-writer-markets-triad	52	commodity.{name}.day:L213	ok	none	no action — field present and validated
tldr	_tldrBuildMarketsTable	583	commodities[i].source	string	no	UNKNOWN	-	MISSING	frontend-fallback-only	defer	intentional optional — keep as graceful fallback
tldr	_tldrBuildWeeklyDataTable	616	discovery_stats	object	yes	PIPELINE	-	MISSING	validator-missing	pipeline	pipeline emits; add validator count+type check
tldr	_tldrBuildWeeklyDataTable	616	discovery_stats.total_projects	number	yes	PIPELINE	-	MISSING	validator-missing	pipeline	pipeline emits; add validator count+type check
tldr	_tldrBuildWeeklyDataTable	664	discovery_stats.total_value_billions	number	no	PIPELINE	-	MISSING	validator-missing	pipeline	pipeline emits; add validator count+type check
tldr	_tldrBuildWeeklyDataTable	664	discovery_stats.new_this_week	number	no	PIPELINE	-	MISSING	validator-missing	pipeline	pipeline emits; add validator count+type check
tldr	_tldrBuildBriefing	647	executive_summary	string	yes	tldr-writer-macro	418	top_level.executive_summary:L158	ok	none	no action — field present and validated
tldr	_tldrBuildBriefing	648	sources	array<object>	yes	tldr-assembler	274	top_level.sources:L158,count.sources:L186	ok	none	no action — field present and validated
tldr	_tldrBuildBriefing	698	sources[i].url	string	yes	tldr-assembler	274	MISSING	validator-missing	schema	add per-source URL required check to validator
tldr	_tldrBuildBriefing	700	sources[i].title	string	no	tldr-assembler	274	MISSING	frontend-fallback-only	defer	optional source metadata; keep fallback
tldr	_tldrBuildBriefing	659	insightCharts	array<object>	yes	tldr-charts	57	top_level.insightCharts:L158,count.insightCharts:L175	ok	none	no action — field present and validated
tldr	_tldrBuildBriefing	666	insightCharts[i].callout	string	yes	tldr-charts	68	callout.top.insightCharts[i]:L334	ok	none	no action — field present and validated
tldr	_tldrBuildBriefing	667	insightCharts[i].reasoning	string	no	tldr-charts	220	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
tldr	_tldrRenderCalloutCharts	735	insightCharts[i].dataKeys	array<string>	yes	tldr-charts	64	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
tldr	_tldrRenderCalloutCharts	752	insightCharts[i].source	string	no	tldr-charts	-	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
tldr	_tldrRenderCalloutCharts	764	insightCharts[i].title	string	yes	tldr-charts	217	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
tldr	_tldrRenderCalloutCharts	764	insightCharts[i].subtitle	string	yes	tldr-charts	218	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
tldr	_tldrRenderCalloutCharts	764	insightCharts[i].chartType	string	yes	tldr-charts	213	MISSING	validator-missing	schema	add insightCharts sub-schema check to validator
tldr	_tldrRenderCalloutCharts	764	insightCharts[i].annotations	array	no	tldr-charts	-	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
tldr	_tldrRenderCalloutCharts	764	insightCharts[i].eyebrow	string	no	tldr-charts	223	MISSING	frontend-fallback-only	defer	optional chart enrichment; keep fallback
tldr	_tldrBuildPolicy	1014	policy.json:weeks[0].items	array<object>	tolerant	PIPELINE	-	MISSING	validator-missing	pipeline	policy_tracker freshness + schema x-check
tldr	_tldrBuildPolicy	1018	policy.json:weeks[0].items[i].title	string	yes	PIPELINE	-	MISSING	validator-missing	pipeline	policy_tracker freshness + schema x-check
tldr	_tldrBuildPolicy	1036	policy.json:weeks[0].items[i].description	string	no	PIPELINE	-	MISSING	validator-missing	pipeline	policy_tracker freshness + schema x-check
tldr	_tldrBuildPolicy	1037	policy.json:weeks[0].items[i].url	string	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	policy_tracker freshness + schema x-check
tldr	_tldrBuildPolicy	1038	policy.json:weeks[0].items[i].level	string	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	policy_tracker freshness + schema x-check
tldr	_tldrBuildPolicy	1019	policy.json:weeks[0].summary.narrative	string	no	PIPELINE	-	MISSING	frontend-fallback-only	pipeline	policy_tracker freshness + schema x-check
tldr	_tldrBuildProjects	1072	new_projects	number	no	tldr-assembler	-	MISSING	validator-missing	schema	add new_projects number check to validator
tldr	_tldrBuildProjects	1073	project_count	number	yes	tldr-assembler	-	top_level_alias.project_count:L368	validator-missing	schema	already aliased; confirm validator coverage
tldr	_tldrBuildProjects	1089	projects_all.json:[]	array<object>	yes	PIPELINE	-	MISSING	validator-missing	pipeline	deploy exporter freshness + schema x-check
tldr	renderTLDRWordCloud	1487	word_cloud_topics	array<object>	no	tldr-analyst-macro	417	MISSING	frontend-fallback-only	defer	intentional optional — keep as graceful fallback
tldr	renderTLDRWordCloud	1496	word_cloud_topics[i].topic	string	no	tldr-analyst-macro	417	MISSING	frontend-fallback-only	defer	intentional optional — keep as graceful fallback
tldr	renderTLDRWordCloud	1496	word_cloud_topics[i].frequency	number	no	tldr-analyst-macro	417	MISSING	frontend-fallback-only	defer	intentional optional — keep as graceful fallback
national-canada	_renderCanadaSubtab	2527	national	object	yes	tldr-writer-macro	418	top_level.national:L158	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2561	national.analysis	string	yes	tldr-writer-macro	418	province.{name}.analysis:L302	validator-missing	schema	add national analysis/sources check to validator
national-canada	_renderCanadaSubtab	2562	national.sources	array<object>	yes	tldr-writer-macro	418	MISSING	validator-missing	schema	add national analysis/sources check to validator
national-canada	_renderCanadaSubtab	2567	national.chart_callout	string	yes	tldr-charts	159	callout.national.chart_callout:L356	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2528	metrics	object	yes	tldr-analyst-macro	192	top_level.metrics:L158	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2546	metrics.bocRate	string	yes	tldr-analyst-macro	193	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2547	metrics.realGdp	string	yes	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2548	metrics.cpi	string	yes	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2549	metrics.unemployment	string	yes	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2550	metrics.employmentChange	string	no	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2551	metrics.participation	string	no	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2552	metrics.housingStarts	string	yes	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2553	metrics.buildingPermits	string	no	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderCanadaSubtab	2538	indicatorMeta.bocRate	object	yes	tldr-analyst-macro	200	metrics.bocRate_chg:L278	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2538	indicatorMeta.realGdp	object	yes	tldr-analyst-macro	200	metrics.realGdp_chg:L278	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2538	indicatorMeta.cpi	object	yes	tldr-analyst-macro	200	metrics.cpi_chg:L278	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2538	indicatorMeta.unemployment	object	yes	tldr-analyst-macro	200	metrics.unemployment_chg:L278	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2538	indicatorMeta.housingStarts	object	yes	tldr-analyst-macro	200	metrics.housingStarts_chg:L278	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2538	indicatorMeta.tradeBalance	object	yes	tldr-analyst-macro	200	metrics.tradeBalance_chg:L278	ok	none	no action — field present and validated
national-canada	_renderCanadaSubtab	2538	indicatorMeta.buildingPermits	object	no	tldr-analyst-macro	200	MISSING	frontend-fallback-only	defer	optional indicator meta sub-field; keep fallback
national-canada	_initCanadaInsightChart	2488	timeseries.json:unemployment_rate	array<object>	yes	PIPELINE	-	MISSING	validator-missing	pipeline	timeseries build freshness + schema x-check
national-canada	_renderCanadaSubtab	2556	projects_all.json	array<object>	yes	PIPELINE	-	MISSING	validator-missing	pipeline	deploy exporter freshness + schema x-check
national-canada	_renderCanadaSubtab	2558	discovery_stats	object	yes	PIPELINE	-	MISSING	validator-missing	pipeline	pipeline emits; add validator count+type check
national-canada	_renderNatEnrichmentCards	2660	metrics.employmentChange	string	no	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderNatEnrichmentCards	2662	metrics.fulltime_change	string	no	tldr-analyst-macro	192	metrics.fulltime_change:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2663	metrics.parttime_change	string	no	tldr-analyst-macro	192	metrics.parttime_change:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2664	metrics.private_sector_change	string	no	tldr-analyst-macro	192	metrics.private_sector_change:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (gap — analyst not emitting)
national-canada	_renderNatEnrichmentCards	2665	metrics.public_sector_change	string	no	tldr-analyst-macro	192	metrics.public_sector_change:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (gap — analyst not emitting)
national-canada	_renderNatEnrichmentCards	2668	metrics.cpi	string	yes	tldr-analyst-macro	192	MISSING	validator-missing	schema	add metrics sub-key check to validator
national-canada	_renderNatEnrichmentCards	2669	metrics.core_cpi_median	string	no	tldr-analyst-macro	192	metrics.core_cpi_median:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2670	metrics.shelter_cpi	string	no	tldr-analyst-macro	192	metrics.shelter_cpi:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2671	metrics.food_cpi	string	no	tldr-analyst-macro	192	metrics.food_cpi:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2672	metrics.energy_cpi	string	no	tldr-analyst-macro	192	metrics.energy_cpi:L567	validator-warn	skill	B.3 Cluster 5 — producer identified; WARN on empty (currently populated)
national-canada	_renderNatEnrichmentCards	2676	metrics.building_permits	string	yes	tldr-analyst-macro	-	metrics.building_permits_alias:L291	validator-missing	schema	add metrics sub-key check to validator
